Date,Series,Open,High,Low,Prev_Close,Ltp,Close,Vwap,52W_H,52W_L,Volume,Value,No_Of_Trades,Day,Month,Year,Percent_Change_In_Price,Momentum_Indicator,High_Low_Change,High_Open_Change,Low_Open_Change
2019-07-03,GB,2901.0,2901.0,2901.0,3100.0,2901.0,2901.0,2901.0,3300.0,2511.29,1,2901.0,1,3,7,2019,-0.06419354838709679,0.0,0.0,0.0,0.0
2019-07-02,GB,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3300.0,2511.29,26,80600.0,2,2,7,2019,0.0685970355049983,0.0,0.0,0.0,0.0
2019-06-25,GB,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3100.0,3300.0,2511.29,1,3100.0,1,25,6,2019,0.0,0.0,0.0,0.0,0.0
2019-06-21,GB,3010.0,3100.0,3010.0,2960.0,3100.0,3100.0,3066.67,3300.0,2511.29,27,82800.0,4,21,6,2019,0.0,0.029900332225913623,0.029900332225913623,0.029900332225913623,0.0
2019-06-18,GB,2960.0,2960.0,2960.0,2969.0,2960.0,2960.0,2960.0,3300.0,2511.29,1,2960.0,1,18,6,2019,-0.04516129032258065,0.0,0.0,0.0,0.0
2019-06-10,GB,2969.0,2969.0,2969.0,2861.0,2969.0,2969.0,2969.0,3300.0,2511.29,48,142512.0,1,10,6,2019,0.0030405405405404817,0.0,0.0,0.0,0.0
2019-05-29,GB,2861.0,2861.0,2861.0,2905.0,2861.0,2861.0,2861.0,3300.0,2511.29,2,5722.0,1,29,5,2019,-0.036375884136072734,0.0,0.0,0.0,0.0
2019-05-27,GB,2905.0,2905.0,2905.0,2861.0,2905.0,2905.0,2905.0,3300.0,2511.29,2,5810.0,1,27,5,2019,0.015379238028661257,0.0,0.0,0.0,0.0
2019-05-07,GB,2861.0,2861.0,2861.0,2983.0,2861.0,2861.0,2861.0,3300.0,2511.29,5,14305.0,1,7,5,2019,-0.015146299483648873,0.0,0.0,0.0,0.0
2019-03-11,GB,2950.0,2983.0,2950.0,3000.0,2983.0,2983.0,2964.56,3300.0,2511.29,179,530657.0,5,11,3,2019,0.04264243271583368,0.011186440677966102,0.011186440677966102,0.011186440677966102,0.0
2019-02-25,GB,3000.0,3000.0,3000.0,3035.0,3000.0,3000.0,3000.0,3300.0,2511.29,1,3000.0,1,25,2,2019,0.005698960777740458,0.0,0.0,0.0,0.0
2019-02-22,GB,3036.0,3036.0,3035.0,3050.0,3035.0,3035.0,3035.25,3300.0,2511.29,4,12141.0,2,22,2,2019,0.011666666666666714,-0.00032938076416337287,0.00032948929159802305,0.0,-0.00032938076416337287
2019-02-21,GB,3000.0,3050.0,2725.0,3000.0,3050.0,3050.0,2969.43,3300.0,2511.29,7,20786.0,6,21,2,2019,0.0049423393739702615,0.016666666666666666,0.11926605504587157,0.016666666666666666,-0.09166666666666666
2019-02-11,GB,3000.0,3000.0,3000.0,3300.0,3000.0,3000.0,3000.0,3300.0,2511.29,1,3000.0,1,11,2,2019,-0.016393442622950838,0.0,0.0,0.0,0.0
2019-02-07,GB,3300.0,3300.0,3300.0,3000.0,3300.0,3300.0,3300.0,3300.0,2511.29,10,33000.0,1,7,2,2019,0.10000000000000009,0.0,0.0,0.0,0.0
